[2025-04-22 17:25:33,893] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2025-04-22 17:25:33,920] INFO [Controller id=0 epoch=2] Sending LeaderAndIsr request to broker 0 with 51 become-leader and 0 become-follower partitions (state.change.logger)
[2025-04-22 17:25:33,922] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 51 partitions (state.change.logger)
[2025-04-22 17:25:34,075] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2025-04-22 17:25:34,096] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 2 as part of the become-leader transition for 51 partitions (state.change.logger)
[2025-04-22 17:25:34,106] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,132] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,154] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,177] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,200] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,222] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,244] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,267] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,289] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,311] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,334] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,357] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,380] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,403] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,427] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,450] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,473] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,498] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,521] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-04-22 17:25:34,544] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(OQBSM_Q1R1ir8b_D475lFw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
